"","Primer_name","Phyla","Reads","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"242","MarkN_10_F.Proti440R_28_R","Platyhelminthes",11370,132024,0.0861207053263043,"Eukaryota","18S",400,300,"Test"
"243","MarkN_10_F.Proti440R_28_R","Streptophyta",2228,132024,0.0168757195661395,"Eukaryota","18S",400,300,"Test"
"244","MarkN_10_F.Proti440R_28_R","Tardigrada",145,132024,0.00109828516027389,"Eukaryota","18S",400,300,"Test"
"245","mlCOIintF_XT_104_F.JgHCO2198_104_R","Apicomplexa",97,32873,0.00295074985550452,"Eukaryota","COI",400,300,"Fox_Raccoon"
"246","mlCOIintF_XT_104_F.JgHCO2198_104_R","Arthropoda",4107,32873,0.124935357284093,"Eukaryota","COI",400,300,"Fox_Raccoon"
"247","mlCOIintF_XT_104_F.JgHCO2198_104_R","Ascomycota",503,32873,0.0153013111063791,"Eukaryota","COI",400,300,"Fox_Raccoon"
"248","mlCOIintF_XT_104_F.JgHCO2198_104_R","Basidiomycota",111,32873,0.00337663127794847,"Eukaryota","COI",400,300,"Fox_Raccoon"
"249","mlCOIintF_XT_104_F.JgHCO2198_104_R","Chlorophyta",126,32873,0.00383293280199556,"Eukaryota","COI",400,300,"Fox_Raccoon"
"250","mlCOIintF_XT_104_F.JgHCO2198_104_R","Chordata",17835,32873,0.54254251209199,"Eukaryota","COI",400,300,"Fox_Raccoon"
"251","mlCOIintF_XT_104_F.JgHCO2198_104_R","Mucoromycota",7459,32873,0.226903537857816,"Eukaryota","COI",400,300,"Fox_Raccoon"
"252","mlCOIintF_XT_104_F.JgHCO2198_104_R","Nematoda",2635,32873,0.0801569677242722,"Eukaryota","COI",400,300,"Fox_Raccoon"
"253","NdmlCOIlintF_1_72_F.dgHCO2198_72_R","Arthropoda",3962,20090,0.197212543554007,"Eukaryota","COI",400,300,"Test"
"254","NdmlCOIlintF_1_72_F.dgHCO2198_72_R","Ascomycota",227,20090,0.0112991538078646,"Eukaryota","COI",400,300,"Test"
"255","NdmlCOIlintF_1_72_F.dgHCO2198_72_R","Basidiomycota",33,20090,0.00164260826281732,"Eukaryota","COI",400,300,"Test"
"256","NdmlCOIlintF_1_72_F.dgHCO2198_72_R","Chordata",15800,20090,0.786460925833748,"Eukaryota","COI",400,300,"Test"
"257","NdmlCOIlintF_1_72_F.dgHCO2198_72_R","Mucoromycota",61,20090,0.00303633648581384,"Eukaryota","COI",400,300,"Test"
"258","NdmlCOIlintF_1_72_F.dgHCO2198_72_R","Nematoda",7,20090,0.000348432055749129,"Eukaryota","COI",400,300,"Test"
"259","Nem_0425_6CR_14_F.EukB_MH_24_R","Annelida",21,34681,0.000605518872004844,"Eukaryota","18S",400,300,"Test"
"260","Nem_0425_6CR_14_F.EukB_MH_24_R","Apicomplexa",9209,34681,0.265534442490124,"Eukaryota","18S",400,300,"Test"
"261","Nem_0425_6CR_14_F.EukB_MH_24_R","Arthropoda",2773,34681,0.0799573253366397,"Eukaryota","18S",400,300,"Test"
"262","Nem_0425_6CR_14_F.EukB_MH_24_R","Ascomycota",4798,34681,0.138346645137107,"Eukaryota","18S",400,300,"Test"
"263","Nem_0425_6CR_14_F.EukB_MH_24_R","Basidiomycota",3132,34681,0.0903088146247225,"Eukaryota","18S",400,300,"Test"
"264","Nem_0425_6CR_14_F.EukB_MH_24_R","Chlorophyta",102,34681,0.00294109166402353,"Eukaryota","18S",400,300,"Test"
"265","Nem_0425_6CR_14_F.EukB_MH_24_R","Cryptomycota",17,34681,0.000490181944003921,"Eukaryota","18S",400,300,"Test"
"266","Nem_0425_6CR_14_F.EukB_MH_24_R","Mucoromycota",11176,34681,0.322251376834578,"Eukaryota","18S",400,300,"Test"
"267","Nem_0425_6CR_14_F.EukB_MH_24_R","Nematoda",361,34681,0.0104091577520833,"Eukaryota","18S",400,300,"Test"
"268","Nem_0425_6CR_14_F.EukB_MH_24_R","Olpidiomycota",9,34681,0.000259508088002076,"Eukaryota","18S",400,300,"Test"
"269","Nem_0425_6CR_14_F.EukB_MH_24_R","Platyhelminthes",2880,34681,0.0830425881606643,"Eukaryota","18S",400,300,"Test"
"270","Nem_0425_6CR_14_F.EukB_MH_24_R","Streptophyta",148,34681,0.00426746633603414,"Eukaryota","18S",400,300,"Test"
"271","Nem_0425_6CR_14_F.EukB_MH_24_R","Tardigrada",55,34681,0.00158588276001269,"Eukaryota","18S",400,300,"Test"
"272","NLF184cw_74_F.NL818cw_74_R","Annelida",15,4457,0.00336549248373345,"Eukaryota","28S",800,500,"Test"
"273","NLF184cw_74_F.NL818cw_74_R","Apicomplexa",611,4457,0.137087727170743,"Eukaryota","28S",800,500,"Test"
"274","NLF184cw_74_F.NL818cw_74_R","Arthropoda",7,4457,0.00157056315907561,"Eukaryota","28S",800,500,"Test"
"275","NLF184cw_74_F.NL818cw_74_R","Ascomycota",2660,4457,0.596814000448732,"Eukaryota","28S",800,500,"Test"
"276","NLF184cw_74_F.NL818cw_74_R","Basidiomycota",819,4457,0.183755889611847,"Eukaryota","28S",800,500,"Test"
"277","NLF184cw_74_F.NL818cw_74_R","Chlorophyta",150,4457,0.0336549248373345,"Eukaryota","28S",800,500,"Test"
"278","NLF184cw_74_F.NL818cw_74_R","Mucoromycota",184,4457,0.0412833744671304,"Eukaryota","28S",800,500,"Test"
"279","NLF184cw_74_F.NL818cw_74_R","Nematoda",2,4457,0.00044873233116446,"Eukaryota","28S",800,500,"Test"
"280","NLF184cw_74_F.NL818cw_74_R","Platyhelminthes",3,4457,0.000673098496746691,"Eukaryota","28S",800,500,"Test"
"281","NLF184cw_74_F.NL818cw_74_R","Streptophyta",6,4457,0.00134619699349338,"Eukaryota","28S",800,500,"Test"
"282","Prot1702_32_F.EukB_MH_24_R","Apicomplexa",4405,31647,0.139191708534774,"Eukaryota","18S",500,400,"Test"
"283","Prot1702_32_F.EukB_MH_24_R","Arthropoda",61,31647,0.00192751287641799,"Eukaryota","18S",500,400,"Test"
"284","Prot1702_32_F.EukB_MH_24_R","Ascomycota",1834,31647,0.0579517805795178,"Eukaryota","18S",500,400,"Test"
"285","Prot1702_32_F.EukB_MH_24_R","Basidiomycota",368,31647,0.011628274401997,"Eukaryota","18S",500,400,"Test"
