"","Primer_name","Family","Reads","Total_reads","Relative_abundance","Target","Gen","Max","Min","Assay"
"104","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Haematococcaceae",28,75007,0.000373298492140734,"Eukaryota","18S",400,300,"Test"
"105","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Halteriidae",5,75007,6.6660445025131e-05,"Eukaryota","18S",400,300,"Test"
"106","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Hartmannellidae",7,75007,9.33246230351834e-05,"Eukaryota","18S",400,300,"Test"
"107","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Helminthosphaeriaceae",108,75007,0.00143986561254283,"Eukaryota","18S",400,300,"Test"
"108","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Herpotrichiellaceae",108,75007,0.00143986561254283,"Eukaryota","18S",400,300,"Test"
"109","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Heteromitidae",1092,75007,0.0145586411934886,"Eukaryota","18S",400,300,"Test"
"110","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Hydnodontaceae",39,75007,0.000519951471196022,"Eukaryota","18S",400,300,"Test"
"111","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Hyphochytriaceae",3,75007,3.99962670150786e-05,"Eukaryota","18S",400,300,"Test"
"112","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Hypocreaceae",25,75007,0.000333302225125655,"Eukaryota","18S",400,300,"Test"
"113","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Isididae",8,75007,0.00010665671204021,"Eukaryota","18S",400,300,"Test"
"114","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Lipomycetaceae",16,75007,0.000213313424080419,"Eukaryota","18S",400,300,"Test"
"115","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Lipotrophidae",51,75007,0.000679936539256336,"Eukaryota","18S",400,300,"Test"
"116","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Malasseziaceae",359,75007,0.00478621995280441,"Eukaryota","18S",400,300,"Test"
"117","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Metschnikowiaceae",848,75007,0.0113056114762622,"Eukaryota","18S",400,300,"Test"
"118","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Microascaceae",1714,75007,0.0228512005546149,"Eukaryota","18S",400,300,"Test"
"119","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Monoblepharidaceae",6,75007,7.99925340301572e-05,"Eukaryota","18S",400,300,"Test"
"120","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Monocystidae",31971,75007,0.426240217579693,"Eukaryota","18S",400,300,"Test"
"121","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Mortierellaceae",534,75007,0.00711933552868399,"Eukaryota","18S",400,300,"Test"
"122","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Mrakiaceae",1135,75007,0.0151319210207047,"Eukaryota","18S",400,300,"Test"
"123","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Mucoraceae",10690,75007,0.14252003146373,"Eukaryota","18S",400,300,"Test"
"124","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Nectriaceae",1223,75007,0.016305144853147,"Eukaryota","18S",400,300,"Test"
"125","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Onygenaceae",233,75007,0.0031063767381711,"Eukaryota","18S",400,300,"Test"
"126","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Ophiostomataceae",78,75007,0.00103990294239204,"Eukaryota","18S",400,300,"Test"
"127","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Opisthorchiidae",969,75007,0.0129187942458704,"Eukaryota","18S",400,300,"Test"
"128","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Oxytrichidae",35,75007,0.000466623115175917,"Eukaryota","18S",400,300,"Test"
"129","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Periconiaceae",389,75007,0.00518618262295519,"Eukaryota","18S",400,300,"Test"
"130","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Phaffomycetaceae",83,75007,0.00110656338741717,"Eukaryota","18S",400,300,"Test"
"131","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Phallaceae",206,75007,0.0027464103350354,"Eukaryota","18S",400,300,"Test"
"132","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Phycomycetaceae",506,75007,0.00674603703654326,"Eukaryota","18S",400,300,"Test"
"133","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Physodermataceae",30,75007,0.000399962670150786,"Eukaryota","18S",400,300,"Test"
"134","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Pichiaceae",474,75007,0.00631941018838242,"Eukaryota","18S",400,300,"Test"
"135","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Pinaceae",5,75007,6.6660445025131e-05,"Eukaryota","18S",400,300,"Test"
"136","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Piptocephalidaceae",57,75007,0.000759929073286493,"Eukaryota","18S",400,300,"Test"
"137","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Piskurozymaceae",15,75007,0.000199981335075393,"Eukaryota","18S",400,300,"Test"
"138","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Platyophryidae",14,75007,0.000186649246070367,"Eukaryota","18S",400,300,"Test"
"139","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Plectosphaerellaceae",434,75007,0.00578612662818137,"Eukaryota","18S",400,300,"Test"
"140","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Polyporaceae",17,75007,0.000226645513085445,"Eukaryota","18S",400,300,"Test"
"141","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Prasiolaceae",444,75007,0.00591944751823163,"Eukaryota","18S",400,300,"Test"
"142","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Pseudeurotiaceae",587,75007,0.00782593624595038,"Eukaryota","18S",400,300,"Test"
"143","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Pseudoholophryidae",17,75007,0.000226645513085445,"Eukaryota","18S",400,300,"Test"
"144","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Pyronemataceae",53,75007,0.000706600717266388,"Eukaryota","18S",400,300,"Test"
"145","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Rhizophlyctidaceae",7,75007,9.33246230351834e-05,"Eukaryota","18S",400,300,"Test"
"146","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Rhizophydiaceae",61,75007,0.000813257429306598,"Eukaryota","18S",400,300,"Test"
"147","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Rhizopodaceae",84,75007,0.0011198954764222,"Eukaryota","18S",400,300,"Test"
"148","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Rhogostomidae",101,75007,0.00134654098950765,"Eukaryota","18S",400,300,"Test"
"149","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Saccharomycetaceae",980,75007,0.0130654472249257,"Eukaryota","18S",400,300,"Test"
"150","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Saccharomycodaceae",1433,75007,0.0191048835442025,"Eukaryota","18S",400,300,"Test"
"151","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Sandonidae",18,75007,0.000239977602090472,"Eukaryota","18S",400,300,"Test"
"152","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Saprolegniaceae",2,75007,2.66641780100524e-05,"Eukaryota","18S",400,300,"Test"
"153","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Sarcocystidae",4948,75007,0.0659671763968696,"Eukaryota","18S",400,300,"Test"
"154","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Scenedesmaceae",68,75007,0.000906582052341781,"Eukaryota","18S",400,300,"Test"
"155","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Serpulaceae",90,75007,0.00119988801045236,"Eukaryota","18S",400,300,"Test"
"156","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Sordariaceae",46,75007,0.000613276094231205,"Eukaryota","18S",400,300,"Test"
"157","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Spathidiidae",191,75007,0.00254642899996,"Eukaryota","18S",400,300,"Test"
"158","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Stachybotryaceae",75,75007,0.000999906675376965,"Eukaryota","18S",400,300,"Test"
"159","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Stylocephalidae",364,75007,0.00485288039782954,"Eukaryota","18S",400,300,"Test"
"160","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Syncystidae",63,75007,0.00083992160731665,"Eukaryota","18S",400,300,"Test"
"161","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Taphrinaceae",11,75007,0.000146652979055288,"Eukaryota","18S",400,300,"Test"
"162","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Thaumatomastigidae",10,75007,0.000133320890050262,"Eukaryota","18S",400,300,"Test"
"163","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Thyridariaceae",58,75007,0.000773261162291519,"Eukaryota","18S",400,300,"Test"
"164","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Torulaceae",27,75007,0.000359966403135707,"Eukaryota","18S",400,300,"Test"
"165","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Trachelophyllidae",2,75007,2.66641780100524e-05,"Eukaryota","18S",400,300,"Test"
"166","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Trichomonascaceae",21,75007,0.00027997386910555,"Eukaryota","18S",400,300,"Test"
"167","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Trichosporonaceae",241,75007,0.00321303345021131,"Eukaryota","18S",400,300,"Test"
"168","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Trinematidae",110,75007,0.00146652979055288,"Eukaryota","18S",400,300,"Test"
"169","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Uebelmesseromycetaceae",7,75007,9.33246230351834e-05,"Eukaryota","18S",400,300,"Test"
"170","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Urocystidaceae",9,75007,0.000119988801045236,"Eukaryota","18S",400,300,"Test"
"171","18S_0067a_deg_3Mod_53_F.NSR399_3Mod_53_R","Ustilaginaceae",37,75007,0.000493287293185969,"Eukaryota","18S",400,300,"Test"
